Item ID,Item name,Type,Price,Stock,Status,Notes,,,,,,,
201,U AIRism Cotton Oversized Crew Neck Half-Sleeve T-Shirt,Light (0-500g),$22.40,200,In stock,Uniqlo,,,,Light,Med,heavy,over
301,Large Gala Apple (1 lb),Medium (500g-1kg),$5.39,250,In stock,Kroger,,,,$2.50,$4.00,$10.00,$25.00
302,"2% Reduced Fat Milk Gallon Refrigerated",Heavy (1kg to 5kg),$12.66,316,In stock,Walmart,,,,,,,
202,Pile Lined Fleece Full-Zip Jacket,Medium (500g-1kg),$33.99,84,In stock,Uniqlo,,,,,,,
203,Mini T-Shirt,Light (0-500g),$17.40,107,In stock,Uniqlo,,,,,,,
303,Darcy Storage Ottoman Bench,Overweight (>5kg),$168.74,0,Temporarily unavailable,Kroger,,,,,,,
204,Relaxed Ankle Jeans,Medium (500g-1kg),$53.90,150,In stock,Uniqlo,,,,,,,
304,"Large White Eggs 18 Count",Medium (500g-1kg),$7.22,400,In stock,Walmart,,,,,,,
101,Killer Liner 36 Hour Waterproof Gel Eyeliner Pencil,Light (0-500g),$28.50,216,In stock,Too Faced,,,,,,,
102,It's So Big But Better Volumizing Mascara,Light (0-500g),$13.99,983,In stock,Elizabeth Mott,,,,,,,
205,French Wool Great Coat,Overweight (>5kg),$205.00,100,In stock,Brents Warehouse,,,,,,,
206,Align™ High-Rise Crop 21,Light (0-500g),$90.50,0,Temporarily unavailable,lululemon,,,,,,,
207,Define Jacket Nulu,Light (0-500g),$120.50,879,In stock,lululemon,,,,,,,
208,ABC Jogger Regular,Medium (500g-1kg),$132.00,213,In stock,lululemon,,,,,,,
209,Nike Sportswear Club Fleece,Medium (500g-1kg),$69.00,732,In stock,nike,,,,,,,
103,1046 A/B/C Cut Square | Clear Lipgloss Tube with Black/White/Pink Cap and Gradient,Light (0-500g),$4.50,921,In stock,genieSUPPLY,,,,,,,
104,Photo Focus Concealer Light/Med Beige,Light (0-500g),$37.50,632,In stock,Wet n Wild,,,,,,,
210,"Nike Sportswear Phoenix Fleece",Medium (500g-1kg),$74.00,920,In stock,nike,,,,,,,
306,onn. 65” Class 4K UHD (2160P) LED Roku Smart Television HDR (100012587),Overweight (>5kg),$323.00,198,In stock,Walmart,,,,,,,
105,AIRBRUSH FLAWLESS SETTING SPRAYORIGINAL 100 ML,Light (0-500g),$40.50,934,In stock,Charlotte tilbury,,,,,,,
307,All free clear Original Unscented Liquid Laundry Detergent,Heavy (1kg to 5kg),$29.99,-1,Sold out,Kroger,,,,,,,
106,HOLLYWOOD FLAWLESS FILTER,Light (0-500g),$51.50,988,In stock,charlotte Tilbury,,,,,,,
308,"Reebok Delta Outdoor Rubber Basketball Size 7 (29.5 in)",Medium (500g-1kg),$13.88,123,In stock,Walmart,,,,,,,
107,"""Magic Cream""",Light (0-500g),$102.50,600,In stock,charlotte Tilbury,,,,,,,
108,Jumbo Eye Pencil,Light (0-500g),$12.50,1000,In stock,Nyx,,,,,,,
309,Fresh Seedless Watermelon,Medium (500g-1kg),$10.38,781,In stock,Walmart,,,,,,,
310,Rer Baron Pepperoni Classic Crust Frozen Pizza,Medium (500g-1kg),$8.99,500,In stock,Kroger,,,,,,,
109,slim Lip Pencil,Light (0-500g),$7.50,1000,In stock,Nyx,,,,,,,
110,Liquid Suede lipstick,Light (0-500g),$10.50,1000,In stock,Nyx,,,,,,,
